vcpu,memoria_gb,reg_Leste dos EUA,reg_Sudeste do Brasil,preco_real,preco_previsto,regiao
8.0,64.0,False,True,1.222,1.3083270521791253,Sudeste do Brasil
16.0,128.0,True,False,1.898,1.4255148438996539,Leste dos EUA
4.0,16.0,True,False,0.228,0.3030517787417105,Leste dos EUA
32.0,128.0,True,False,2.848,2.434626630912791,Leste dos EUA
96.0,384.0,True,False,9.36,7.251830546854872,Leste dos EUA
192.0,1536.0,True,False,26.1,17.955226738095245,Leste dos EUA
32.0,128.0,False,True,3.536,3.9873756852716173,Sudeste do Brasil
96.0,768.0,False,True,16.958,15.500341022346031,Sudeste do Brasil
16.0,64.0,False,True,1.671,1.9443770663041706,Sudeste do Brasil
96.0,768.0,True,False,6.048,8.652382112247652,Leste dos EUA
4.0,16.0,False,True,0.652,0.5026364572552121,Sudeste do Brasil
32.0,256.0,False,True,6.214,5.215625603428959,Sudeste do Brasil
64.0,256.0,False,True,10.435,8.220689093444015,Sudeste do Brasil
32.0,256.0,True,False,2.142,2.896312203738599,Leste dos EUA
8.0,64.0,True,False,0.57,0.7369366816933107,Leste dos EUA
16.0,128.0,False,True,2.826,2.633932034475836,Sudeste do Brasil
16.0,64.0,True,False,0.904,1.224896107087339,Leste dos EUA
16.0,64.0,False,True,2.609,1.9443770663041706,Sudeste do Brasil
8.0,16.0,True,False,0.269,0.31839346571401317,Leste dos EUA
112.0,896.0,False,True,19.646,20.929172184704175,Sudeste do Brasil
96.0,768.0,True,False,10.464,8.652382112247652,Leste dos EUA
32.0,256.0,True,False,3.379,2.896312203738599,Leste dos EUA
2.0,4.0,True,False,0.0672,0.046874788648479715,Leste dos EUA
48.0,192.0,True,False,6.543,3.6879610522483173,Leste dos EUA
48.0,192.0,True,False,5.383,3.6879610522483173,Leste dos EUA
8.0,32.0,False,True,1.123,1.025730684820541,Sudeste do Brasil
4.0,16.0,False,True,0.58,0.5026364572552121,Sudeste do Brasil
4.0,16.0,True,False,0.234,0.3030517787417105,Leste dos EUA
16.0,64.0,False,True,2.286,1.9443770663041706,Sudeste do Brasil
8.0,32.0,True,False,0.904,0.6215957385009458,Leste dos EUA
2.0,8.0,True,False,0.101,0.15637214446073341,Leste dos EUA
